episodes,scores,avg_scores
365,-634.7208227354567,-1526.7776079121809
366,-14.976685613768442,-1527.2273747683184
367,-1008,-1535.4273747683185
368,-1749,-1545.3173747683186
369,-2161.168001971563,-1563.9190547880341
370,-31,-1552.891030494336
371,-3,-1494.287176291488
372,-2307.9506389589997,-1510.3666826810781
373,-363,-1513.226682681078
374,-289,-1511.926682681078
375,-244,-1513.986682681078
376,-426,-1499.916682681078
377,-651.8006186855112,-1506.5946888679332
378,-435,-1510.3246888679332
379,-235,-1512.6546888679334
380,-447,-1508.8658703817473
381,-1129,-1517.9058703817473
382,-634,-1523.2045991239252
383,-476,-1523.2445991239251
384,-179,-1521.5245991239249
385,-71,-1519.1445991239248
386,-449.748874538709,-1523.312087869312
387,-57,-1507.2111804385047
388,-253,-1437.3242247552243
389,-621,-1442.4542247552245
390,-514,-1429.3342247552243
391,-2182,-1450.595403922731
392,-255,-1449.1854039227308
393,-898.9219935022301,-1454.6946238577532
394,-647,-1449.4546238577534
395,-128,-1447.9746238577534
396,-4006.723215961366,-1487.4218560173667
397,-610,-1490.971856017367
398,-123,-1490.7118560173667
399,-249,-1488.783961258435
400,-843,-1493.3039612584353
401,-60,-1493.7139612584351
402,-56,-1491.003961258435
403,-168,-1482.5739612584352
404,-419,-1113.761333624052
405,-751,-1081.5294952640702
406,-4332.4554129668895,-856.5937650170918
407,-491,-860.9437650170918
408,-1333,-869.7837650170918
409,-12.584235061702,-865.2351455226523
410,-56,-861.7951455226524
411,-327,-858.8051455226524
412,-295,-860.9851455226525
413,-5,-854.4451455226523
414,-418,-856.3751455226524
415,-77,-852.2951455226523
416,-520,-854.9451455226523
417,-60,-851.0551455226523
418,-392,-849.1651455226523
419,-364,-839.8204600878173
420,-43,-837.1904600878173
421,-548,-840.9104600878173
422,-24008.563057630126,-1080.9760906641186
423,-1031,-1090.9917321293108
424,-398,-1091.5817321293111
425,-260,-1088.3670068660535
426,-112,-1089.2370068660537
427,-22,-1087.4770068660537
428,-3004,-1115.7770068660536
429,-1244,-1127.5070068660536
430,-296,-1130.2570068660536
431,-25517.510385343005,-1384.9221107194835
432,-547,-1378.2220245720691
433,-243,-1376.5620245720693
434,-839,-1384.9320245720694
435,-397.59071560010676,-1388.8979317280705
436,-833,-1386.7927672047715
437,-236,-1323.5692511463683
438,-101,-1318.9892511463684
439,-224,-1321.2892511463683
440,-2099.809710948777,-1336.7073482558562
441,-278,-1336.1573482558563
442,-180,-1333.2973482558561
443,-175,-1330.3873482558563
444,-4078.344031155315,-1366.8607885674094
445,-337,-1369.330788567409
446,-83,-1369.7107885674093
447,-288,-1366.5107885674092
448,-57,-1363.270788567409
449,-3500,-1397.6107885674091
450,-39,-1360.1376825649104
451,-248,-1360.8176825649105
452,-252,-1362.8076825649102
453,-1,-1355.7376825649105
454,-341,-1354.422324839729
455,-288,-1315.6368297923523
456,-490,-1318.646829792352
457,41,-1308.3507000632862
458,-237,-1306.4407000632862
459,-65,-1102.963410348687
460,-971,-1112.4134103486872
461,-90,-1101.0186840067354
462,-461,-1102.1686840067352
463,-29,-1100.0586840067353
464,-230,-1101.4586840067352
465,-91,-1096.0214757793808
466,-110,-1096.9717089232429
467,-155,-1088.441708923243
468,-42.68532573719759,-1071.378562180615
469,29,-1049.4768821608993
470,-457.0991656313858,-1053.7378738172133
471,-2,-1053.727873817213
472,-196,-1032.608367427623
473,-1280,-1041.7783674276232
474,-830,-1047.1883674276232
475,-251,-1047.2583674276232
476,-527,-1048.2683674276234
477,-179,-1043.540361240768
478,-488,-1044.070361240768
479,-532,-1047.040361240768
480,-889,-1051.4603612407682
481,-87,-1041.040361240768
482,-370,-1038.400361240768
483,-260,-1036.2403612407682
484,-454,-1038.9903612407682
485,-446,-1042.7403612407682
486,-472,-1042.9628724953811
487,-62,-1043.012872495381
488,-224,-1042.7228724953811
489,-248,-1038.992872495381
