episodes,scores,avg_scores
230,-1220.9328210396818,-1090.3716869750679
231,-1819.499090847422,-1100.6446727124048
232,-1486.4869639537637,-1109.4949912629454
233,463.96870022490907,-1106.5874676589904
234,-1456.074663703374,-1111.2353551803803
235,453.4212687180033,-1108.5040686386026
236,-22.618322225937295,-1111.9447293102107
237,-572.025730829781,-1083.6798027937484
238,-2474.0405020857656,-1112.3014676121657
239,-4854.09242904666,-1154.8926242475932
240,500,-1152.910171317778
241,-604.0962105269999,-1123.2311898668202
242,-724.8826430923896,-1115.983313589159
243,-1455.017769162875,-1125.2386955263219
244,-1198.698871445018,-1141.2865453958975
245,-1940.7871102288814,-1158.1061661741123
246,-1128.1785593313373,-1161.6969128205455
247,-3560.65801976263,-1184.8615116501742
248,-1302.2782717647422,-1184.537142219959
249,-1669.602168812063,-1184.46133641277
250,-1138.4412153398814,-1166.4249094364527
251,-2984.822597378459,-1171.80075616447
252,-649.6519030037103,-1162.8992201089252
